FID;id;nom_comm;insee_comm;superficie;population;insee_dep;nom_comm_1;nouvelles;EPCI;INSEE_ID
0;BDCSURCO0000000009597873;Abbaretz;44001;6205;2013;44; ; ;Communauté de communes de la région de Nozay;44001
1;BDCSURCO0000000009600143;Aigrefeuille-sur-Maine;44002;1470;3608;44; ; ;Clisson Sèvre et Maine Agglo;44002
2;BDCSURCO0000000009598735;Ancenis;44003;2006;7461;44; ; ;Communauté de communes du Pays d'Ancenis;44003
3;BDCSURCO0000000009599907;Chaumes-en-Retz;44005;7747;6595;44;Chaumes-en-Retz;CN;Pornic Agglo pays de Retz;44005
4;BDCSURCO0000000009598452;Assérac;44006;3362;1799;44; ; ;Communauté d'agglomération de la Presqu'île de Guérande - Atlantique (CAP Atlantique);44006
5;BDCSURCO0000000009597571;Avessac;44007;7630;2549;44; ; ;Communauté de communes du Pays de Redon;44007
6;BDCSURCO0000000009599614;Basse-Goulaine;44009;1380;8492;44; ; ;Communauté Urbaine de Nantes Métropole;44009
7;BDCSURCO0000000009599064;Batz-sur-Mer;44010;1313;2986;44; ; ;Communauté d'agglomération de la Presqu'île de Guérande - Atlantique (CAP Atlantique);44010
8;BDCSURCO0000000009600153;La Bernerie-en-Retz;44012;601;2723;44; ; ;Pornic Agglo pays de Retz;44012
9;BDCSURCO0000000009598749;Besné;44013;1772;2889;44; ; ;Communauté d'agglomération Région Nazairienne et de l'Estuaire (la CARENE);44013
10;BDCSURCO0000000009600145;Le Bignon;44014;2791;3629;44; ; ;Communauté de communes de Grand Lieu;44014
11;BDCSURCO0000000009598444;Blain;44015;10208;9595;44; ; ;Communauté de communes de la région de Blain;44015
12;BDCSURCO0000000009599328;La Boissière-du-Doré;44016;948;1040;44; ; ;Communauté de communes Sèvre et Loire;44016
13;BDCSURCO0000000009598155;Bonnoeuvre;44017;1560;562;44; ; ;Communauté de communes du Pays d'Ancenis;44017
14;BDCSURCO0000000009599902;Bouaye;44018;1408;6927;44; ; ;Communauté Urbaine de Nantes Métropole;44018
15;BDCSURCO0000000009599053;Bouée;44019;2454;918;44; ; ;Communauté de communes Estuaire et Sillon;44019
16;BDCSURCO0000000009599621;Bouguenais;44020;3113;18675;44; ; ;Communauté Urbaine de Nantes Métropole;44020
17;BDCSURCO0000000009600399;Villeneuve-en-Retz;44021;7435;4880;44;Villeneuve-en-Retz;CN;Communauté de communes Sud Retz Atlantique;44021
